"stationID";"security";"dockingCostPerVolume";"maxShipVolumeDockable";"officeRentalCost";"operationID";"stationTypeID";"corporationID";"solarSystemID";"constellationID";"regionID";"stationName";"x";"y";"z";"reprocessingEfficiency";"reprocessingStationsTake";"reprocessingHangarFlag"
"60000001";"100";"0,00";"50.000.000,00";"10000";"";"";"";"";"";"";"";"666,00";"666,00";"666,00";"0,50";"0,05";"4"
"60000004";"200";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"1";"20000407";"10000033";"Muvolailen X - Moon 3 - CBD Corporation Storage";"1.723.680.890.880,00";"256.414.064.640,00";"60.755.435.520,00";"0,50";"0,05";"4"
"60000007";"300";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"2";"20000407";"10000033";"Ono V - Moon 9 - CBD Corporation Storage";"-640.881.254.400,00";"-65.580.441.600,00";"506.471.424.000,00";"0,50";"0,05";"4"
"60000010";"400";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"3";"20000407";"10000033";"Annaro I - CBD Corporation Storage";"2.234.081.280,00";"327.966.720,00";"-35.834.142.720,00";"0,50";"0,05";"4"
"60000013";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"4";"20000407";"10000033";"Ono V - Moon 2 - CBD Corporation Storage";"-640.134.881.280,00";"-65.504.993.280,00";"507.244.339.200,00";"0,50";"0,05";"4"
"60000016";"600";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"5";"20000407";"10000033";"Tasabeshi VIII - Moon 13 - CBD Corporation Storage";"-5.865.870.581.760,00";"-654.233.640.960,00";"-2.584.889.794.560,00";"0,50";"0,05";"4"
"60000019";"700";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"1";"20000407";"10000033";"Tasabeshi VI - Moon 1 - CBD Corporation Storage";"-701.220.986.880,00";"-78.208.819.200,00";"-1.824.795.402.240,00";"0,50";"0,05";"4"
"60000022";"800";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"2";"20000388";"10000032";"Ney X - Moon 15 - CBD Corporation Storage";"1.237.879.480.320,00";"10.972.569.600,00";"-7.508.090.880,00";"0,50";"0,05";"4"
"60000025";"900";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"3";"20000388";"10000032";"Ardene VIII - Moon 5 - CBD Corporation Storage";"2.035.178.741.760,00";"-405.832.949.760,00";"-735.734.538.240,00";"0,50";"0,05";"4"
"60000028";"1000";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"4";"20000388";"10000032";"Schoorasana VI - Moon 1 - CBD Corporation Storage";"-946.854.666.240,00";"-170.430.013.440,00";"-694.899.548.160,00";"0,50";"0,05";"4"
"60000031";"0";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"5";"20000388";"10000032";"Schoorasana VI - Moon 6 - CBD Corporation Storage";"-947.635.937.280,00";"-170.569.605.120,00";"-694.779.863.040,00";"0,50";"0,05";"4"
